Linux 6.2.0-36-generic (alexey-ubuntu) 	19.11.2023 	_x86_64_	(8 CPU)

23:26:39      UID       PID prio policy  Command
23:35:06        0    233911    0 DEADLN  stress-ng
23:35:07        0    233911    0 DEADLN  stress-ng
23:35:08        0    233911    0 DEADLN  stress-ng
23:35:09        0    233911    0 DEADLN  stress-ng
23:35:10        0    233911    0 DEADLN  stress-ng
23:35:11        0    233911    0 DEADLN  stress-ng
23:35:12        0    233911    0 DEADLN  stress-ng
23:35:13        0    233911    0 DEADLN  stress-ng
23:35:14        0    233911    0 DEADLN  stress-ng
23:35:15        0    233911    0 DEADLN  stress-ng
23:35:16        0    233911    0 DEADLN  stress-ng
23:35:17        0    233911    0 DEADLN  stress-ng
23:35:18        0    233911    0 DEADLN  stress-ng
23:35:19        0    233911    0 DEADLN  stress-ng
23:35:20        0    233911    0 DEADLN  stress-ng
23:35:21        0    233911    0 DEADLN  stress-ng
23:35:22        0    233911    0 DEADLN  stress-ng
23:35:23        0    233911    0 DEADLN  stress-ng
23:35:24        0    233911    0  BATCH  stress-ng
23:35:25        0    233911    0 DEADLN  stress-ng
23:35:26        0    233911    0 DEADLN  stress-ng
23:35:27        0    233911    0 DEADLN  stress-ng
23:35:28        0    233911    0 DEADLN  stress-ng
23:35:29        0    233911    0 DEADLN  stress-ng
23:35:30        0    233911    0 DEADLN  stress-ng
23:35:31        0    233911    0 DEADLN  stress-ng
23:35:32        0    233911    0 DEADLN  stress-ng
23:35:33        0    233911    0 DEADLN  stress-ng
23:35:34        0    233911    0 DEADLN  stress-ng
23:35:35        0    233911    0 DEADLN  stress-ng
23:35:36        0    233911    0 DEADLN  stress-ng
23:35:37        0    233911    0 DEADLN  stress-ng
23:35:38        0    233911    0 DEADLN  stress-ng
23:35:39        0    233911    0 DEADLN  stress-ng
23:35:40        0    233911    0 DEADLN  stress-ng
23:35:41        0    233911    0 DEADLN  stress-ng
