pipe;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
5180000;5180000;3.82;7.72;16.20;1356756.51;216555.18;156.63
5190000;5190000;3.97;7.32;16.96;1308047.04;213756.18;152.98
5200000;5200000;4.25;6.76;18.08;1224627.73;209339.77;146.25
5210000;5210000;3.73;7.23;16.52;1397231.68;219368.42;159.23
5220000;5220000;3.61;7.35;16.06;1446567.20;222981.63;162.18
5230000;5230000;3.59;7.15;16.10;1457763.07;224946.24;162.01
5240000;5240000;3.67;7.32;16.18;1429297.87;222978.72;160.25
5250000;5250000;3.66;7.19;16.30;1435668.12;223499.36;160.59
5260000;5260000;3.94;7.34;17.31;1336455.20;213387.42;156.58
5270000;5270000;3.91;6.94;17.21;1349159.73;218219.46;154.56
5280000;5280000;4.22;6.99;17.76;1250752.84;213333.33;146.57
5290000;5290000;3.72;7.31;16.55;1420442.26;221709.97;160.17
5300000;5300000;3.67;7.47;16.26;1445223.34;223345.98;161.77
5310000;5310000;3.71;7.62;16.27;1432181.27;222268.73;161.09
5320000;5320000;7.04;7.60;24.50;755544.29;165732.09;113.97
5330000;5330000;4.57;7.44;18.88;1166451.87;202507.60;144.00
5340000;5340000;4.80;6.94;19.44;1113053.71;202426.08;137.46
5350000;5350000;5.13;7.08;20.04;1042020.39;197271.39;132.05
5360000;5360000;4.25;7.42;18.34;1259917.00;208074.53;151.38
5370000;5370000;3.77;7.75;16.57;1424121.45;220805.92;161.24
5380000;5380000;3.71;7.19;16.82;1449589.98;224073.30;161.73
5390000;5390000;3.77;7.63;16.66;1428577.90;221902.02;160.95
5400000;5400000;3.84;7.76;16.65;1408017.54;221220.81;159.12
5410000;5410000;4.22;7.27;17.93;1280753.48;214682.54;149.15
5420000;5420000;3.98;7.63;17.07;1362419.88;219433.20;155.22
5430000;5430000;3.82;7.72;16.81;1422769.99;221361.60;160.68
5440000;5440000;3.87;7.37;17.15;1404280.19;221859.71;158.24
5450000;5450000;3.76;7.75;16.54;1450397.52;224372.17;161.61
5460000;5460000;3.77;7.75;16.70;1446531.00;223312.88;161.94
